Code,Area,Year,Recycling_Rates
E09000001,City of London,2003/04,8
E09000002,Barking and Dagenham,2003/04,5
E09000003,Barnet,2003/04,16
E09000004,Bexley,2003/04,21
E09000005,Brent,2003/04,10
E09000006,Bromley,2003/04,20
E09000007,Camden,2003/04,19
E09000008,Croydon,2003/04,14
E09000009,Ealing,2003/04,15
E09000010,Enfield,2003/04,16
E09000011,Greenwich,2003/04,12
E09000012,Hackney,2003/04,6
E09000013,Hammersmith and Fulham,2003/04,16
E09000014,Haringey,2003/04,9
E09000015,Harrow,2003/04,16
E09000016,Havering,2003/04,8
E09000017,Hillingdon,2003/04,34
E09000018,Hounslow,2003/04,20
E09000019,Islington,2003/04,7
E09000020,Kensington and Chelsea,2003/04,15
E09000021,Kingston upon Thames,2003/04,19
E09000022,Lambeth,2003/04,12
E09000023,Lewisham,2003/04,8
E09000024,Merton,2003/04,15
E09000025,Newham,2003/04,2
E09000026,Redbridge,2003/04,9
E09000027,Richmond upon Thames,2003/04,24
E09000028,Southwark,2003/04,7
E09000029,Sutton,2003/04,25
E09000030,Tower Hamlets,2003/04,5
E09000031,Waltham Forest,2003/04,12
E09000032,Wandsworth,2003/04,18
E09000033,Westminster,2003/04,11
E12000001,North East,2003/04,12
E12000002,North West,2003/04,14
E12000003,Yorkshire and the Humber,2003/04,15
E12000004,East Midlands,2003/04,19
E12000005,West Midlands,2003/04,16
E12000006,East,2003/04,23
E12000007,London,2003/04,13
E12000008,South East,2003/04,23
E12000009,South West,2003/04,21
E92000001,England,2003/04,18
E09000001,City of London,2004/05,14
E09000002,Barking and Dagenham,2004/05,14
E09000003,Barnet,2004/05,20
E09000004,Bexley,2004/05,30
E09000005,Brent,2004/05,14
E09000006,Bromley,2004/05,23
E09000007,Camden,2004/05,25
E09000008,Croydon,2004/05,13
E09000009,Ealing,2004/05,15
E09000010,Enfield,2004/05,24
E09000011,Greenwich,2004/05,19
E09000012,Hackney,2004/05,12
E09000013,Hammersmith and Fulham,2004/05,20
E09000014,Haringey,2004/05,14
E09000015,Harrow,2004/05,19
E09000016,Havering,2004/05,16
E09000017,Hillingdon,2004/05,27
E09000018,Hounslow,2004/05,17
E09000019,Islington,2004/05,11
E09000020,Kensington and Chelsea,2004/05,18
E09000021,Kingston upon Thames,2004/05,18
E09000022,Lambeth,2004/05,16
E09000023,Lewisham,2004/05,10
E09000024,Merton,2004/05,20
E09000025,Newham,2004/05,6
E09000026,Redbridge,2004/05,16
