REF,TYPE,YEAR,MERGE_COL,LOCATION,LAT,LON,NOC,START,END,DISABILITIES_INCLUDED,EVENTS,SPORTS,COUNTRIES,MALE,FEMALE,PARTICIPANTS,HIGHLIGHTS
S1,Summer,1960,Rome,Rome,41.8931,12.4828,ITA,18-Sep-60,25-Sep-60,Spinal injury,113,8,17,,,209,First Games with a disability held in same venues as Olympic Games
S2,Summer,1964,Tokyo,Tokyo,35.6897,139.6922,JAP,08-Nov-64,12-Nov-64,Spinal injury,143,9,20,195,71,266,Weightlifting added as a sport
S3,Summer,1968,TelAviv,Tel Aviv,32.08,34.78,ISR,05-Nov-68,14-Nov-68,Spinal injury,188,10,28,578,196,774,Lawn Bowls added as a sport
S4,Summer,1972,Heidelberg,Heidelberg,49.4122,8.71,GER,02-Aug-72,11-Aug-72,Spinal injury,188,10,41,654,268,922,First quadraplegic competition added. Demonstration events for vision impaired athletes
S5,Summer,1976,Toronto,Toronto,43.6532,-79.3832,CAN,04-Aug-76,12-Aug-76,"Spinal injury, Amputee, Vision Impairment, Les Autres",448,13,41,1000,271,1271,"First use of specialised racing wheelchairs. Volleyball (Standing), Goalball and Shooting added as sports"
S6,Summer,1980,Arnhem,Arnhem,51.9833,5.9167,NED,22-Jun-80,01-Jul-80,"Spinal injury, Amputee, Vision Impairment, Cerebral Palsy, Les Autres",590,13,42,1225,428,1653,Sitting Volleyball added as a discipline. Events for athletes with Cerebral Palsy included
S7,Summer,1984,StokeMandevilleNewYork,Stoke Mandeville New York,40.7128,-74.006,"GBR, USA",17-Jun-84,01-Aug-84,"Spinal injury, Amputee, Vision Impairment, Cerebral Palsy, Les Autres",975,18,54,1569,536,2105,Football 7-a-side and Boccia added as sports. Cycling added as a discipline. Wheelchair Racing included as demonstration event at Olympic Games
S8,Summer,1988,Seoul,Seoul,37.56,126.99,KOR,16-Oct-88,25-Oct-88,"Spinal injury, Amputee, Vision Impairment, Cerebral Palsy, Les Autres",733,18,60,2370,671,3041,Judo and Wheelchair Tennis added as sports. Co-operation between Olympic and Paralympic Organizing Committees. Shared venues with Olympics which has continued ever since
S9,Summer,1992,Barcelona,Barcelona,41.3825,2.1769,ESP,05-Sep-92,16-Sep-92,"Spinal injury, Amputee, Vision Impairment, Cerebral Palsy, Les Autres",489,16,84,2300,699,2999,Event benchmark in organisational excellence
S10,Summer,1996,Atlanta,Atlanta,33.749,-84.388,USA,16-Aug-96,25-Aug-96,"Spinal injury, Amputee, Vision Impairment, Cerebral Palsy, Les Autres, Intellectual Disability",519,19,104,2462,790,3252,Equestrian added as a sport. Track cycling added as a discipline
S11,Summer,2000,Sydney,Sydney,-33.8688,151.2093,AUS,23-Oct-00,31-Oct-00,"Spinal injury, Amputee, Vision Impairment, Cerebral Palsy, Les Autres, Intellectual Disability",550,19,123,2883,988,3871,Sailing and Wheelchair Rugby added as sports. Record ticket sales
S12,Summer,2004,Athens,Athens,37.9838,23.7275,GRE,23-Sep-04,04-Oct-04,"Spinal injury, Amputee, Vision Impairment, Cerebral Palsy, Les Autres",519,19,135,2600,1149,3749,Football 5-a-side added as a sport
S13,Summer,2008,Beijing,Beijing,39.9042,116.4074,CHN,06-Sep-08,17-Sep-08,"Spinal injury, Amputee, Vision Impairment, Cerebral Palsy, Les Autres",472,20,146,2585,1366,3951,Rowing added as sport. Cumulated TV audience of 3.8 billion
